target,name_ja,dip_score,sell_score,hold_score,decision,recommended_action,reason,provisional
xrp,XRP,65.0,10.0,35.0,押し目候補,押し目買い検討,dip_score=65(暫定・簡易判定),True
qnt_token,Quant Network (QNT トークン),60.0,10.0,40.0,押し目候補,押し目買い検討,dip_score=60(暫定・簡易判定),True
fujikura,フジクラ,20.0,75.0,25.0,売り時候補,一部利確検討,sell_score=75(暫定・簡易判定),True
murata,村田製作所,15.0,60.0,40.0,過熱警戒,新規買い見送り,sell_score=60(暫定・簡易判定),True
lasertec_rorze,ローツェ,20.0,75.0,25.0,売り時候補,一部利確検討,sell_score=75(暫定・簡易判定),True
kioxia,キオクシア,15.0,60.0,40.0,過熱警戒,新規買い見送り,sell_score=60(暫定・簡易判定),True
harmonic,ハーモニック・ドライブ・システムズ,15.0,60.0,40.0,過熱警戒,新規買い見送り,sell_score=60(暫定・簡易判定),True
fanuc,ファナック,15.0,60.0,40.0,過熱警戒,新規買い見送り,sell_score=60(暫定・簡易判定),True
yaskawa,安川電機,15.0,60.0,40.0,過熱警戒,新規買い見送り,sell_score=60(暫定・簡易判定),True
tesla,Tesla,40.0,30.0,60.0,保有継続,様子見,dip=40 / sell=30(中立域・暫定),True
