date,score,confidence
2026-07-02,96.96969696969695,0.5
2026-07-03,96.89034369885434,0.5
2026-07-04,96.89034369885434,0.5
2026-07-05,96.88779688779688,0.5
2026-07-06,96.88524590163937,0.5
2026-07-07,95.9049959049959,0.5
2026-07-08,95.4135954135954,0.5
2026-07-09,95.4954954954955,0.5
2026-07-10,96.07201309328968,0.5
2026-07-11,96.07201309328968,0.5
2026-07-12,96.06879606879608,0.5
2026-07-13,95.65929565929568,0.5
2026-07-14,83.14238952536824,0.5
2026-07-15,95.986895986896,0.5
2026-07-17,94.10801963993454,0.5
2026-07-18,94.10801963993454,0.5
2026-07-19,94.1031941031941,0.5
2026-07-20,94.09836065573772,0.5
2026-07-21,94.67213114754098,0.5
